Field Season	Plot	Date collected	Species	Sex	Weight (g)	Calibrated incorrectly																					
2013	1	2013-07-16	DM	M	NaN	N																					
2013	1	2013-12-10	DO	M	45	N																					
2013	2	2013-07-16	DM	F	NaN	N																					
2013	3	2013-07-16	DM	M	NaN	N																					
2013	3	2013-07-18	DM	M	40	N																					
2013	3	2013-10-17	DO	F	33	N																					
2013	3	2013-10-17	DO	F	50	N																					
2013	4	2013-07-18	DM	F	29	N																					
2013	4	2013-11-13	DS	F	107	N																					
2013	4	2013-11-13	DS	F	115	N																					
2013	6	2013-07-18	DM	F	37	N																					
2013	7	2013-07-16	DM	M	33	N																					
2013	7	2013-07-18	DM	M	48	N																					
2013	8	2013-08-19	DO	F	52	N																					
2013	8	2013-12-11	DO	F	41	N																					
2013	9	2013-12-10	DO	F	40	N																					
2013	9	2013-12-13	DS	F	117	N																					
2013	11	2013-12-13	DS	F	126	N																					
2013	11	2013-12-13	DS	F	122	N																					
2013	14	2013-12-13	DS	F	113	Y																					
2013	17	2013-12-13	DS	M	132	Y																					
2014	1	2014-01-09	DM	M	40	N																					
2014	1	2014-01-09	DM	F	36	N																					
2014	1	2014-03-13	DM	F	51	N																					
2014	1	2014-03-13	DM	F	44	N																					
2014	1	2014-03-13	DS	F	146	N																					
2014	2	2014-01-08	NA	NaN	NaN	N																					
2014	2	2014-01-08	DM	M	44	N																					
2014	2	2014-01-08	PF	F	7	N																					
2014	2	2014-01-08	DM	M	45	N																					
2014	2	2014-01-08	OT	NaN	NaN	N																					
2014	2	2014-01-08	DS	M	157	Y																					
2014	2	2014-01-08	OX	NaN	NaN	N																					
2014	2	2014-02-18	NA	M	218	Y																					
2014	2	2014-02-18	PF	F	7	N																					
2014	2	2014-02-18	DM	M	52	N																					
2014	3	2014-03-11	PF	M	8	N																					
2014	3	2014-04-08	NA	F	NaN	N																					
2014	3	2014-05-06	NaN	NaN	NaN	N																					
2014	3	2014-05-18	NA	F	182	N																					
2014	3	2014-06-09	OT	F	29	N																					
2014	3	2014-07-08	NA	F	115	N																					
2014	3	2014-07-08	NA	M	190	N																					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
