Field Season	Plot	Date collected	Species	Sex	Weight (g)	Calibrated incorrectly																					
2013	1	7/16/13	DM	M		N																					
2013	1	12/10/13	DO	M	45	N																					
2013	2	7/16/13	DM	F		N																					
2013	3	7/16/13	DM	M		N																					
2013	3	7/18/13	DM	M	40	N																					
2013	3	10/17/13	DO	F	33	N																					
2013	3	10/17/13	DO	F	50	N																					
2013	4	7/18/13	DM	F	29	N																					
2013	4	11/13/13	DS	F	107	N																					
2013	4	11/13/13	DS	F	115	N																					
2013	6	7/18/13	DM	F	37	N																					
2013	7	7/16/13	DM	M	33	N																					
2013	7	7/18/13	DM	M	48	N																					
2013	8	8/19/13	DO	F	52	N																					
2013	8	12/11/13	DO	F	41	N																					
2013	9	12/10/13	DO	F	40	N																					
2013	9	11/12/13	DS	F	117	N																					
2013	11	11/13/13	DS	F	126	N																					
2013	11	11/13/13	DS	F	122	N																					
2013	14	11/13/13	DS	F	113	Y																					
2013	17	11/13/13	DS	M	132	Y																					
2014	1	1/9/14	DM	M	40	N																					
2014	1	1/9/14	DM	F	36	N																					
2014	1	3/13/14	DM	F	51	N																					
2014	1	3/13/14	DM	F	44	N																					
2014	1	3/13/14	DS	F	146	N																					
2014	2	1/8/14	NA			N																					
2014	2	1/8/14	DM	M	44	N																					
2014	2	1/8/14	PF	F	7	N																					
2014	2	1/8/14	DM	M	45	N																					
2014	2	1/8/14	OT			N																					
2014	2	1/8/14	DS	M	157	Y																					
2014	2	1/8/14	OX			N																					
2014	2	2/18/14	NA	M	218	Y																					
2014	2	2/18/14	PF	F	7	N																					
2014	2	2/18/14	DM	M	52	N																					
2014	3	3/11	PF	M	8	N																					
2014	3	4/8	NA	F		N																					
2014	3	5/6				N																					
2014	3	5/18	NA	F	182	N																					
2014	3	6/9	OT	F	29	N																					
2014	3	7/8	NA	F	115	N																					
2014	3	7/8	NA	M	190	N																					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
